total, pages, question, design, CI, errors, conclusion, reproduction, clarity
9.77, 3, 5, 5, 5, 5, 5, 5, 4
6.11, 10, 2, 2, 3, 4, 3, 5, 3
6, 2, 2, 2, 4, 4, 2, 4, 3
6.11, 5, 2, 2, 2, 5, 2, 5, 4
9.44, 3, 5, 4, 5, 5, 5, 5, 4
7.88, 2, 2, 3, 5, 5, 3, 5, 5
10, 7, 5, 5, 5, 5, 5, 5, 5
4.88, 3, 2, 2, 3, 3, 1, 5, 1
6.44, 1, 3, 3, 3, 3, 3, 5, 3
9.77, 5, 5, 5, 5, 5, 4, 5, 5
8.22, 4, 3, 5, 3, 5, 4, 5, 4
7.44, 4, 5, 4, 2, 4, 4, 5, 2
7.33, 5, 1, 1, 5, 5, 5, 5, 5
9.11, 11, 5, 5, 5, 5, 3, 4, 4
8.44, 5, 4, 5, 4, 5, 3, 5, 3
9.44, 3, 5, 4, 5, 5, 5, 5, 4
9.55, 4, 5, 5, 5, 5, 4, 5, 4
7, 7, 3, 4, 4, 4, 3, 5, 1
7.77, 2, 5, 5, 4, 2, 4, 4, 3
8.66, 2, 5, 4, 2, 5, 5, 5, 5
8.55, 4, 4, 5, 5, 3, 5, 5, 3
7.88, 2, 4, 3, 4, 4, 5, 5, 3
7.77, 4, 4, 4, 4, 4, 3, 5, 3
6.44, 4, 2, 3, 3, 4, 3, 5, 3
7.66, 5, 5, 4, 4, 2, 5, 5, 2
8, 4, 4, 5, 4, 5, 4, 3, 2
4.44, 1, 0, 1, 4, 3, 3, 4, 1
8, 9, 5, 4, 5, 4, 3, 3, 3
8.11, 2, 5, 5, 3, 4, 4, 4, 3
8, 1, 5, 5, 3, 5, 3, 4, 2
5.66, 1, 1, 2, 4, 4, 2, 5, 2
8.77, 6, 4, 5, 5, 3, 5, 5, 4
8, 4, 5, 5, 4, 4, 2, 4, 3
8.11, 5, 3, 4, 5, 5, 3, 5, 3
7.88, 2, 4, 4, 5, 4, 3, 5, 2
9, 2, 5, 4, 5, 5, 5, 4, 3
7.11, 2, 5, 3, 4, 2, 3, 5, 3
10, 8, 5, 5, 5, 5, 5, 5, 5
7.11, 2, 5, 4, 2, 3, 5, 4, 2
8.55, 1, 5, 5, 2, 5, 5, 5, 3
4.55, 2, 3, 1, 1, 4, 1, 5, 1
8.55, 4, 5, 5, 4, 3, 4, 5, 4
10, 5, 5, 5, 5, 5, 5, 5, 5
5.22, 3, 4, 2, 2, 3, 4, 2, 1
9.33, 5, 5, 4, 4, 5, 5, 5, 5
9.55, 2, 5, 5, 5, 5, 4, 5, 4
